,Application ID,Application Type,Customer ID,Group Name ID,RM ID,Entered Date,Closed Date,Next Review Date,Product ID,Start Date,Term (mths),Expiry Date,Rate Applied,Margin Agreed,Capital,Annual Interest Income,Collateral Type,Face Value,Rating
0,ID1148,Dealer,IFR153,GRP507,RM2034,1/3/2015,4/26/2015,4/25/2016,PRD019,4/26/2015,24,4/27/2017,3.03,0.2,6120000,197676,Fixed Company Charge,23000000,1
1,ID1292,Dealer,IFR177,GRP516,RM2040,1/6/2015,2/5/2015,2/5/2016,PRD017,2/5/2015,12,2/6/2016,3.14,0.24,4870000,164606,Limited Cross Guarantee and Indemnity (supported),22400000,2
2,ID1193,Dealer,IFR117,GRP501,RM2020,1/10/2015,5/17/2015,5/16/2016,PRD014,5/17/2015,12,5/17/2016,2.52,0.12,6540000,172656,Bank Guarantee by Australian Financial Institution,21700000,2
3,ID1197,Dealer,IFR193,GRP516,RM2012,1/22/2015,4/8/2015,4/7/2016,PRD009,4/8/2015,24,4/9/2017,3.56,0.31,4520000,174924,Bill of Sale over business assets,17100000,5
4,ID1054,Dealer,IFR157,GRP515,RM2008,1/23/2015,2/27/2015,2/27/2016,PRD003,2/27/2015,12,2/28/2016,1.6,0.49,6500000,135850,Transfer of Mortgage over a Lease,6500000,2
5,ID1084,Commercial,IFR164,GRP517,RM2008,1/24/2015,4/5/2015,4/4/2016,PRD014,4/5/2015,24,4/6/2017,2.6,0.28,6030000,173664,Bill of Sale over business assets,4700000,2
6,ID1307,Property Development,IFR160,GRP514,RM2034,1/24/2015,4/4/2015,4/3/2016,PRD001,4/4/2015,36,4/6/2018,2.25,0.31,3950000,101120,Transfer of Mortgage over a Lease,18000000,5
7,ID1462,Property Development,IFR115,GRP514,RM2039,1/28/2015,4/21/2015,4/20/2016,PRD012,4/21/2015,12,4/21/2016,1.78,0.36,6240000,133536,Limited Guarantee and Indemnity (supported),4500000,5
8,ID1025,Property Development,IFR157,GRP515,RM2024,1/29/2015,3/17/2015,3/16/2016,PRD001,3/17/2015,60,3/20/2020,2.19,0.41,1980000,51480,Traded Equities,10500000,3
9,ID1360,Dealer,IFR103,GRP505,RM2011,1/29/2015,5/7/2015,5/6/2016,PRD020,5/7/2015,6,11/6/2015,1.64,0.37,4510000,90651,Bill of Sale over a Post Office licence,17300000,6
10,ID1476,Dealer,IFR159,GRP502,RM2008,1/30/2015,6/5/2015,6/4/2016,PRD015,6/5/2015,24,6/6/2017,3.54,0.44,5570000,221686,Gold Deposit,19900000,5
11,ID1269,Property Development,IFR101,GRP504,RM2028,2/1/2015,4/13/2015,4/12/2016,PRD004,4/13/2015,12,4/13/2016,1.64,0.13,4460000,78942,Unregistered Mortgage over an unregistered lease,13100000,5
12,ID1099,Property Development,IFR157,GRP515,RM2026,2/2/2015,3/6/2015,3/5/2016,PRD003,3/6/2015,12,3/6/2016,3.18,0.29,1930000,66971,Mortgage over Real Property (Commercial),17300000,5
13,ID1101,Commercial,IFR192,GRP502,RM2028,2/2/2015,3/13/2015,3/12/2016,PRD003,3/13/2015,36,3/15/2018,2.68,0.24,6210000,181332,Mortgage over Real Property (Industrial),4100000,1
14,ID1483,Commercial,IFR173,GRP500,RM2001,2/2/2015,3/30/2015,3/29/2016,PRD004,3/30/2015,24,3/31/2017,3.35,0.21,4730000,168388,Unregistered Mortgage over an unregistered lease,15900000,4
15,ID1138,Corporate,IFR167,GRP516,RM2002,2/3/2015,3/20/2015,3/19/2016,PRD017,3/20/2015,48,3/23/2019,1.57,0.37,3500000,67900,Bill of Sale over specific business assets,14000000,3
16,ID1359,Property Development,IFR157,GRP515,RM2023,2/3/2015,3/4/2015,3/3/2016,PRD015,3/4/2015,24,3/5/2017,3.36,0.42,6000000,226800,Collateral Type Desc,13300000,6
17,ID1324,Dealer,IFR128,GRP514,RM2025,2/7/2015,6/5/2015,6/4/2016,PRD018,6/5/2015,48,6/8/2019,3.46,0.23,5350000,197415,Commercial Property,19500000,2
18,ID1417,Commercial,IFR126,GRP514,RM2002,2/7/2015,3/7/2015,3/6/2016,PRD004,3/7/2015,6,9/6/2015,2.01,0.28,5130000,117477,Bill of Sale over specific business assets,5800000,1
19,ID1460,Dealer,IFR198,GRP511,RM2013,2/8/2015,4/19/2015,4/18/2016,PRD007,4/19/2015,6,10/19/2015,3.21,0.49,420000,15540,Transfer of Mortgage over Real Property,17800000,6
20,ID1186,Corporate,IFR192,GRP502,RM2001,2/9/2015,5/22/2015,5/21/2016,PRD003,5/22/2015,12,5/22/2016,2,0.25,6120000,137700,Mortgage over a lease,9600000,4
21,ID1421,Dealer,IFR126,GRP514,RM2009,2/9/2015,4/29/2015,4/28/2016,PRD005,4/29/2015,6,10/29/2015,2.36,0.31,3670000,97989,Mortgage over Real Property (Residential),3500000,5
22,ID1188,Commercial,IFR102,GRP512,RM2015,2/10/2015,5/20/2015,5/19/2016,PRD017,5/20/2015,36,5/22/2018,2.85,0.28,2000000,62600,Transfer of Mortgage over Real Property,13200000,3
23,ID1457,Commercial,IFR166,GRP500,RM2006,2/11/2015,4/20/2015,4/19/2016,PRD010,4/20/2015,48,4/23/2019,2.88,0.13,4430000,133343,Transfer of Mortgage over a Lease,14600000,6
24,ID1121,Dealer,IFR157,GRP515,RM2029,2/12/2015,3/2/2015,3/1/2016,PRD016,3/2/2015,6,9/1/2015,2.24,0.14,3930000,93534,Bank Guarantee by Australian Financial Institution,16500000,5
25,ID1262,Property Development,IFR117,GRP501,RM2016,2/12/2015,5/25/2015,5/24/2016,PRD004,5/25/2015,6,11/24/2015,3.1,0.35,3150000,108675,Traded Equities,11600000,6
26,ID1344,Commercial,IFR193,GRP516,RM2024,2/12/2015,6/5/2015,6/4/2016,PRD013,6/5/2015,48,6/8/2019,3.42,0.39,1360000,51816,Traded Equities,13300000,1
27,ID1370,Commercial,IFR166,GRP500,RM2036,2/13/2015,2/28/2015,2/28/2016,PRD004,2/28/2015,12,2/29/2016,2.27,0.49,3970000,109572,Bill of Sale over business assets,8900000,2
28,ID1449,Corporate,IFR146,GRP515,RM2016,2/13/2015,3/13/2015,3/12/2016,PRD012,3/13/2015,24,3/14/2017,2.91,0.28,6670000,212773,Mortgage over a lease,17100000,3
29,ID1451,Property Development,IFR154,GRP514,RM2028,2/13/2015,3/1/2015,2/29/2016,PRD001,3/1/2015,6,8/31/2015,1.71,0.16,6920000,129404,Stock Mortgage,2200000,3
30,ID1233,Dealer,IFR181,GRP505,RM2019,2/14/2015,4/21/2015,4/20/2016,PRD003,4/21/2015,12,4/21/2016,3.57,0.5,170000,6919,Transfer of Mortgage over Real Property,8700000,1
31,ID1012,Commercial,IFR182,GRP518,RM2035,2/15/2015,4/11/2015,4/10/2016,PRD009,4/11/2015,24,4/12/2017,3.64,0.18,350000,13370,Mortgage over Real Property (Commercial),11900000,6
32,ID1243,Property Development,IFR121,GRP500,RM2012,2/16/2015,3/15/2015,3/14/2016,PRD016,3/15/2015,12,3/15/2016,2.03,0.47,6040000,151000,Limited Guarantee and Indemnity (unsupported),14900000,1
33,ID1321,Dealer,IFR176,GRP519,RM2018,2/18/2015,4/5/2015,4/4/2016,PRD018,4/5/2015,6,10/5/2015,2.64,0.17,4340000,121954,Residential Property,21100000,2
34,ID1254,Dealer,IFR118,GRP514,RM2036,2/19/2015,6/7/2015,6/6/2016,PRD014,6/7/2015,12,6/7/2016,2.97,0.45,5640000,192888,Cash and Cash E,11100000,5
35,ID1276,Dealer,IFR176,GRP519,RM2034,2/20/2015,6/20/2015,6/19/2016,PRD011,6/20/2015,36,6/22/2018,2.41,0.26,3370000,89979,Cash and Cash E,8200000,2
36,ID1333,Dealer,IFR100,GRP500,RM2018,2/20/2015,3/11/2015,3/10/2016,PRD014,3/11/2015,24,3/12/2017,2.31,0.25,1080000,27648,Mortgage over a lease,18700000,6
37,ID1050,Dealer,IFR186,GRP502,RM2009,2/23/2015,4/25/2015,4/24/2016,PRD005,4/25/2015,24,4/26/2017,3.33,0.41,5100000,190740,Mortgage over Real Property (Industrial),21600000,5
38,ID1137,Dealer,IFR112,GRP507,RM2034,2/28/2015,6/2/2015,6/1/2016,PRD002,6/2/2015,48,6/5/2019,3.63,0.28,5090000,199019,Ships Mortgage,8600000,1
39,ID1410,Dealer,IFR156,GRP505,RM2037,2/28/2015,5/10/2015,5/9/2016,PRD005,5/10/2015,24,5/11/2017,3.34,0.1,3220000,110768,Term Deposit at the bank.,2600000,3
40,ID1230,Dealer,IFR169,GRP517,RM2028,3/3/2015,4/15/2015,4/14/2016,PRD019,4/15/2015,12,4/15/2016,1.69,0.23,2250000,43200,Tripartite Deed/Agreement,11700000,6
41,ID1040,Dealer,IFR195,GRP517,RM2011,3/6/2015,5/19/2015,5/18/2016,PRD004,5/19/2015,12,5/19/2016,2.09,0.25,2810000,65754,Bill of Sale over business assets,14000000,6
42,ID1118,Dealer,IFR117,GRP501,RM2036,3/7/2015,5/24/2015,5/23/2016,PRD008,5/24/2015,36,5/26/2018,2.66,0.35,4570000,137557,Term Deposit at the bank.,24900000,3
43,ID1433,Dealer,IFR119,GRP511,RM2017,3/7/2015,5/11/2015,5/10/2016,PRD009,5/11/2015,24,5/12/2017,3.65,0.25,1170000,45630,Tripartite Deed/Agreement,8500000,2
44,ID1091,Corporate,IFR108,GRP515,RM2029,3/12/2015,4/22/2015,4/21/2016,PRD014,4/22/2015,12,4/22/2016,3.63,0.17,1610000,61180,Ships Mortgage,3700000,6
45,ID1162,Dealer,IFR157,GRP515,RM2025,3/14/2015,4/27/2015,4/26/2016,PRD001,4/27/2015,24,4/28/2017,1.92,0.21,610000,12993,Term Deposit at the bank.,8100000,4
46,ID1323,Dealer,IFR164,GRP517,RM2006,3/16/2015,4/6/2015,4/5/2016,PRD001,4/6/2015,24,4/7/2017,2.67,0.13,440000,12320,Mortgage over life insurance,23900000,6
47,ID1472,Commercial,IFR116,GRP517,RM2027,3/16/2015,4/9/2015,4/8/2016,PRD018,4/9/2015,48,4/12/2019,3.36,0.25,1630000,58843,Transfer of Mortgage over Real Property,15500000,3
48,ID1225,Property Development,IFR113,GRP516,RM2029,3/23/2015,7/15/2015,7/14/2016,PRD017,7/15/2015,36,7/17/2018,3.63,0.5,530000,21889,Fixed and Floating Charge (Cashflow lending),11500000,1
49,ID1263,Dealer,IFR120,GRP500,RM2026,3/23/2015,5/28/2015,5/27/2016,PRD008,5/28/2015,12,5/28/2016,2.64,0.48,3630000,113256,Crop Lien,22500000,3
50,ID1029,Corporate,IFR160,GRP514,RM2004,3/28/2015,5/20/2015,5/19/2016,PRD002,5/20/2015,12,5/20/2016,2.74,0.26,5660000,169800,General Mortgage/Lien,18100000,6
51,ID1235,Property Development,IFR194,GRP511,RM2028,3/29/2015,8/6/2015,8/5/2016,PRD003,8/6/2015,48,8/9/2019,1.97,0.13,6290000,132090,Fixed Company Charge,11400000,6
52,ID1495,Dealer,IFR135,GRP502,RM2037,3/29/2015,7/12/2015,7/11/2016,PRD006,7/12/2015,12,7/12/2016,2.31,0.49,1850000,51800,Bill of Sale over a Motor Vehicle,14200000,4
53,ID1290,Commercial,IFR114,GRP505,RM2021,4/2/2015,5/5/2015,5/4/2016,PRD001,5/5/2015,48,5/8/2019,2.2,0.24,6580000,160552,Bill of Sale over a Motor Vehicle,8100000,6
54,ID1429,Commercial,IFR115,GRP514,RM2033,4/6/2015,7/22/2015,7/21/2016,PRD004,7/22/2015,24,7/23/2017,3.01,0.32,1350000,44955,Mortgage over life insurance,6000000,6
55,ID1156,Corporate,IFR113,GRP516,RM2024,4/7/2015,7/8/2015,7/7/2016,PRD017,7/8/2015,12,7/8/2016,3.15,0.21,480000,16128,Mortgage over Real Property (Industrial),6500000,1
56,ID1220,Dealer,IFR125,GRP514,RM2030,4/9/2015,6/28/2015,6/27/2016,PRD004,6/28/2015,6,12/28/2015,3.7,0.2,4410000,171990,Commercial Property,12700000,5
57,ID1334,Dealer,IFR117,GRP501,RM2009,4/9/2015,5/4/2015,5/3/2016,PRD019,5/4/2015,48,5/7/2019,2.92,0.46,6450000,218010,Bill of Sale over a Post Office licence,10100000,4
58,ID1305,Dealer,IFR193,GRP516,RM2021,4/10/2015,8/14/2015,8/13/2016,PRD014,8/14/2015,12,8/14/2016,2.66,0.23,5720000,165308,Transfer of Mortgage over a Lease,7400000,6
59,ID1056,Commercial,IFR150,GRP514,RM2005,4/11/2015,8/1/2015,7/31/2016,PRD018,8/1/2015,12,8/1/2016,2.83,0.29,2590000,80808,Limited Guarantee and Indemnity (unsupported),7800000,6
60,ID1463,Dealer,IFR114,GRP505,RM2032,4/12/2015,6/17/2015,6/16/2016,PRD006,6/17/2015,24,6/18/2017,2.6,0.25,6510000,185535,Mortgage over Real Property (Commercial),20200000,1
61,ID1086,Dealer,IFR195,GRP517,RM2011,4/13/2015,7/7/2015,7/6/2016,PRD020,7/7/2015,24,7/8/2017,3.54,0.33,640000,24768,Limited Cross Guarantee and Indemnity (supported),9000000,6
62,ID1268,Commercial,IFR154,GRP514,RM2019,4/13/2015,5/28/2015,5/27/2016,PRD006,5/28/2015,24,5/29/2017,3.24,0.37,3170000,114437,Transfer of Mortgage over a Lease,12000000,4
63,ID1011,Commercial,IFR156,GRP505,RM2038,4/14/2015,5/28/2015,5/27/2016,PRD006,5/28/2015,12,5/28/2016,3.42,0.21,4420000,160446,Fixed and Floating Company Charge,22600000,4
64,ID1265,Property Development,IFR194,GRP511,RM2021,4/18/2015,5/6/2015,5/5/2016,PRD003,5/6/2015,60,5/9/2020,2.95,0.46,620000,21142,Bill of Sale over business assets,14400000,4
65,ID1236,Dealer,IFR129,GRP500,RM2001,4/19/2015,5/24/2015,5/23/2016,PRD008,5/24/2015,12,5/24/2016,1.67,0.47,3120000,66768,Commercial Property,16900000,5
66,ID1264,Commercial,IFR163,GRP500,RM2019,4/19/2015,7/27/2015,7/26/2016,PRD011,7/27/2015,12,7/27/2016,2.37,0.47,4990000,141716,Fixed and Floating Charge (Cashflow lending),9900000,1
67,ID1488,Dealer,IFR198,GRP511,RM2014,4/19/2015,6/25/2015,6/24/2016,PRD019,6/25/2015,12,6/25/2016,1.62,0.4,1030000,20806,Limited Cross Guarantee and Indemnity (supported),18200000,5
68,ID1285,Corporate,IFR100,GRP500,RM2002,4/23/2015,8/31/2015,8/30/2016,PRD004,8/31/2015,12,8/31/2016,2.93,0.33,1980000,64548,Limited Guarantee and Indemnity (supported),23500000,4
69,ID1452,Property Development,IFR162,GRP514,RM2031,4/23/2015,6/28/2015,6/27/2016,PRD007,6/28/2015,48,7/1/2019,2.32,0.48,4140000,115920,Fixed Company Charge,5100000,3
70,ID1088,Corporate,IFR151,GRP517,RM2027,4/24/2015,8/29/2015,8/28/2016,PRD013,8/29/2015,60,9/1/2020,3.67,0.26,4000000,157200,Bill of Sale over specific business assets,15200000,3
71,ID1139,Dealer,IFR161,GRP507,RM2013,4/24/2015,8/6/2015,8/5/2016,PRD003,8/6/2015,12,8/6/2016,3.6,0.38,4090000,162782,Traded Equities,2800000,2
72,ID1388,Dealer,IFR103,GRP505,RM2030,4/24/2015,7/17/2015,7/16/2016,PRD019,7/17/2015,12,7/17/2016,3.68,0.28,6300000,249480,Mortgage over a lease,20600000,4
73,ID1367,Dealer,IFR108,GRP515,RM2028,4/26/2015,8/1/2015,7/31/2016,PRD009,8/1/2015,36,8/3/2018,3.51,0.41,2210000,86632,Term Deposit at the bank.,23000000,1
74,ID1181,Dealer,IFR181,GRP505,RM2004,4/27/2015,8/29/2015,8/28/2016,PRD016,8/29/2015,48,9/1/2019,3.37,0.24,4700000,169670,Bill of Sale over a Motor Vehicle,3400000,6
75,ID1322,Dealer,IFR111,GRP502,RM2037,4/27/2015,6/28/2015,6/27/2016,PRD004,6/28/2015,24,6/29/2017,3.4,0.41,1240000,47244,Bill of Sale over a Motor Vehicle,9000000,2
76,ID1150,Dealer,IFR177,GRP516,RM2024,5/1/2015,5/20/2015,5/19/2016,PRD008,5/20/2015,24,5/21/2017,1.87,0.45,4780000,110896,Mortgage over Real Property (Industrial),20300000,1
77,ID1346,Dealer,IFR107,GRP502,RM2005,5/1/2015,8/16/2015,8/15/2016,PRD009,8/16/2015,48,8/19/2019,2.72,0.32,3360000,102144,Limited Cross Guarantee and Indemnity (supported),4200000,5
78,ID1398,Commercial,IFR136,GRP502,RM2015,5/2/2015,9/5/2015,9/4/2016,PRD005,9/5/2015,48,9/8/2019,1.79,0.47,1460000,32996,Collateral Type Desc,12600000,4
79,ID1038,Corporate,IFR118,GRP514,RM2013,5/9/2015,8/25/2015,8/24/2016,PRD007,8/25/2015,12,8/25/2016,3.69,0.19,5960000,231248,Mortgage over a lease,7100000,5
80,ID1248,Property Development,IFR172,GRP515,RM2019,5/9/2015,5/24/2015,5/23/2016,PRD003,5/24/2015,12,5/24/2016,1.83,0.35,2600000,56680,General Mortgage/Lien,14100000,2
81,ID1048,Commercial,IFR110,GRP505,RM2001,5/10/2015,8/19/2015,8/18/2016,PRD005,8/19/2015,24,8/20/2017,1.9,0.48,5370000,127806,Term Deposit at the bank.,2200000,6
82,ID1222,Dealer,IFR187,GRP510,RM2013,5/12/2015,6/27/2015,6/26/2016,PRD013,6/27/2015,36,6/29/2018,2.2,0.31,5950000,149345,Transfer of Mortgage over Real Property,9300000,1
83,ID1365,Commercial,IFR187,GRP510,RM2029,5/14/2015,6/2/2015,6/1/2016,PRD013,6/2/2015,36,6/4/2018,3.25,0.2,5550000,191475,Mortgage over Real Property (Industrial),4500000,6
84,ID1017,Dealer,IFR105,GRP501,RM2028,5/19/2015,8/11/2015,8/10/2016,PRD005,8/11/2015,12,8/11/2016,3.4,0.1,1090000,38150,Mortgage over a lease,22600000,2
85,ID1064,Commercial,IFR195,GRP517,RM2009,5/21/2015,8/17/2015,8/16/2016,PRD013,8/17/2015,12,8/17/2016,1.75,0.49,3030000,67872,Mortgage over a lease,22500000,3
86,ID1298,Property Development,IFR138,GRP514,RM2018,5/21/2015,7/20/2015,7/19/2016,PRD004,7/20/2015,24,7/21/2017,3.68,0.13,5340000,203454,Gold Deposit,12900000,3
87,ID1089,Commercial,IFR152,GRP500,RM2020,5/27/2015,9/27/2015,9/26/2016,PRD015,9/27/2015,12,9/27/2016,1.83,0.32,2120000,45580,Fixed Company Charge,24700000,2
88,ID1434,Dealer,IFR132,GRP517,RM2006,5/29/2015,10/5/2015,10/4/2016,PRD008,10/5/2015,12,10/5/2016,2.54,0.16,3240000,87480,Traded Equities,13400000,1
89,ID1428,Dealer,IFR134,GRP501,RM2034,5/30/2015,7/17/2015,7/16/2016,PRD019,7/17/2015,24,7/18/2017,1.72,0.24,5800000,113680,Transfer of Mortgage over Real Property,9800000,4
90,ID1008,Dealer,IFR127,GRP517,RM2022,6/1/2015,8/30/2015,8/29/2016,PRD012,8/30/2015,48,9/2/2019,3.74,0.19,3030000,119079,Mortgage over Real Property (Commercial),17600000,3
91,ID1283,Commercial,IFR111,GRP502,RM2002,6/2/2015,7/6/2015,7/5/2016,PRD004,7/6/2015,12,7/6/2016,2.48,0.41,810000,23409,General Mortgage/Lien,18000000,5
92,ID1106,Dealer,IFR122,GRP511,RM2021,6/5/2015,10/13/2015,10/12/2016,PRD010,10/13/2015,6,4/13/2016,2.53,0.29,240000,6768,Mortgage over Real Property (Commercial),13000000,4
93,ID1467,Dealer,IFR167,GRP516,RM2014,6/5/2015,8/9/2015,8/8/2016,PRD016,8/9/2015,6,2/8/2016,3.56,0.37,6140000,241302,General Mortgage/Lien,12600000,6
94,ID1491,Property Development,IFR195,GRP517,RM2032,6/5/2015,7/5/2015,7/4/2016,PRD010,7/5/2015,60,7/8/2020,3.74,0.11,3410000,131285,Bank Guarantee by Australian Financial Institution,23800000,2
95,ID1098,Dealer,IFR174,GRP511,RM2027,6/7/2015,7/8/2015,7/7/2016,PRD016,7/8/2015,24,7/9/2017,2.61,0.42,1530000,46359,Bill of Sale over business assets,4900000,3
96,ID1130,Dealer,IFR160,GRP514,RM2037,6/7/2015,10/5/2015,10/4/2016,PRD002,10/5/2015,12,10/5/2016,2.07,0.41,1500000,37200,Fixed and Floating Company Charge,5500000,4
97,ID1427,Dealer,IFR107,GRP502,RM2038,6/7/2015,7/6/2015,7/5/2016,PRD016,7/6/2015,6,1/5/2016,2.12,0.43,3960000,100980,Bill of Sale over a Post Office licence,11400000,4
98,ID1129,Dealer,IFR165,GRP514,RM2005,6/9/2015,9/6/2015,9/5/2016,PRD016,9/6/2015,48,9/9/2019,2.8,0.26,5910000,180846,Mortgage over a lease,6300000,3
99,ID1174,Corporate,IFR130,GRP516,RM2032,6/11/2015,9/10/2015,9/9/2016,PRD019,9/10/2015,12,9/10/2016,1.87,0.29,800000,17280,Gold Deposit,8400000,2
100,ID1171,Dealer,IFR157,GRP515,RM2008,6/12/2015,8/15/2015,8/14/2016,PRD018,8/15/2015,24,8/16/2017,3.12,0.36,3870000,134676,Bill of Sale over specific business assets,4800000,4
101,ID1490,Dealer,IFR179,GRP500,RM2030,6/13/2015,10/3/2015,10/2/2016,PRD005,10/3/2015,24,10/4/2017,3.61,0.41,6670000,268134,Limited Guarantee and Indemnity (unsupported),5600000,1
102,ID1004,Commercial,IFR139,GRP500,RM2016,6/14/2015,9/14/2015,9/13/2016,PRD016,9/14/2015,24,9/15/2017,1.86,0.39,3360000,75600,Limited Guarantee and Indemnity (unsupported),23700000,6
103,ID1296,Dealer,IFR165,GRP514,RM2029,6/17/2015,7/4/2015,7/3/2016,PRD002,7/4/2015,12,7/4/2016,3.01,0.39,6440000,218960,Transfer of Mortgage over a Lease,11100000,3
104,ID1327,Dealer,IFR182,GRP518,RM2038,6/17/2015,8/31/2015,8/30/2016,PRD009,8/31/2015,24,9/1/2017,1.77,0.24,2030000,40803,Bill of Sale over specific business assets,14300000,2
105,ID1468,Dealer,IFR101,GRP504,RM2019,6/17/2015,7/16/2015,7/15/2016,PRD008,7/16/2015,12,7/16/2016,1.72,0.44,3850000,83160,Fixed and Floating Charge (Cashflow lending),13300000,5
106,ID1419,Property Development,IFR134,GRP501,RM2014,6/19/2015,7/28/2015,7/27/2016,PRD006,7/28/2015,12,7/28/2016,2.99,0.19,6940000,220692,Fixed Company Charge,12300000,6
107,ID1315,Commercial,IFR192,GRP502,RM2032,6/21/2015,8/25/2015,8/24/2016,PRD005,8/25/2015,6,2/24/2016,3.27,0.35,2080000,75296,Crop Lien,21700000,2
108,ID1331,Dealer,IFR127,GRP517,RM2030,6/21/2015,7/20/2015,7/19/2016,PRD008,7/20/2015,24,7/21/2017,1.7,0.25,4040000,78780,Commercial Property,18400000,5
109,ID1205,Dealer,IFR166,GRP500,RM2013,6/24/2015,7/30/2015,7/29/2016,PRD005,7/30/2015,48,8/2/2019,3.23,0.12,1160000,38860,Limited Guarantee and Indemnity (supported),14900000,3
110,ID1339,Dealer,IFR196,GRP500,RM2020,6/27/2015,10/12/2015,10/11/2016,PRD010,10/12/2015,24,10/13/2017,2.75,0.4,3450000,108675,Bill of Sale over specific business assets,13500000,3
111,ID1459,Commercial,IFR134,GRP501,RM2033,6/27/2015,11/3/2015,11/2/2016,PRD002,11/3/2015,12,11/3/2016,2.56,0.3,1430000,40898,Stock Mortgage,18800000,6
112,ID1133,Dealer,IFR167,GRP516,RM2015,6/28/2015,9/13/2015,9/12/2016,PRD003,9/13/2015,24,9/14/2017,2.24,0.4,1230000,32472,Fixed Company Charge,15900000,5
113,ID1154,Commercial,IFR123,GRP520,RM2020,6/28/2015,10/24/2015,10/23/2016,PRD013,10/24/2015,12,10/24/2016,2.6,0.34,4390000,129066,Mortgage over life insurance,14900000,4
114,ID1310,Dealer,IFR102,GRP512,RM2001,6/30/2015,10/7/2015,10/6/2016,PRD013,10/7/2015,24,10/8/2017,3.39,0.37,5610000,210936,Fixed and Floating Charge (Cashflow lending),3100000,3
115,ID1140,Dealer,IFR193,GRP516,RM2030,7/2/2015,9/9/2015,9/8/2016,PRD011,9/9/2015,24,9/10/2017,1.93,0.15,730000,15184,Ships Mortgage,20700000,5
116,ID1113,Dealer,IFR162,GRP514,RM2017,7/4/2015,7/22/2015,7/21/2016,PRD005,7/22/2015,6,1/21/2016,2.65,0.4,4980000,151890,Transfer of Mortgage over Real Property,23000000,4
117,ID1347,Dealer,IFR199,GRP514,RM2000,7/4/2015,8/6/2015,8/5/2016,PRD011,8/6/2015,6,2/5/2016,1.51,0.36,5620000,105094,Bill of Sale over business assets,20900000,6
118,ID1149,Corporate,IFR120,GRP500,RM2001,7/5/2015,8/6/2015,8/5/2016,PRD007,8/6/2015,24,8/7/2017,1.84,0.46,5340000,122820,Tripartite Deed/Agreement,20400000,5
119,ID1213,Dealer,IFR102,GRP512,RM2008,7/5/2015,9/29/2015,9/28/2016,PRD008,9/29/2015,6,3/30/2016,2.39,0.36,1170000,32175,Limited Cross Guarantee and Indemnity (supported),9900000,6
120,ID1373,Dealer,IFR162,GRP514,RM2027,7/6/2015,8/7/2015,8/6/2016,PRD008,8/7/2015,12,8/7/2016,1.89,0.39,1420000,32376,Collateral Type Desc,16000000,3
121,ID1481,Commercial,IFR160,GRP514,RM2009,7/6/2015,11/1/2015,10/31/2016,PRD003,11/1/2015,6,5/2/2016,3.24,0.12,3780000,127008,Tripartite Deed/Agreement,19500000,3
122,ID1073,Property Development,IFR185,GRP520,RM2019,7/11/2015,11/13/2015,11/12/2016,PRD008,11/13/2015,36,11/15/2018,2.01,0.26,2920000,66284,Mortgage over Real Property (Commercial),9800000,3
123,ID1120,Commercial,IFR162,GRP514,RM2028,7/11/2015,8/20/2015,8/19/2016,PRD001,8/20/2015,12,8/20/2016,2.96,0.4,900000,30240,Transfer of Mortgage over Real Property,16100000,4
